iteration,input_fuse_test,output_fuse_result
426,0,1.99835
426,1,2.98407
427,0,1.97888
427,1,3.00547
428,0,1.96387
428,1,3.00043
429,0,2.001
429,1,3.00233
430,0,1.97032
430,1,2.9903
431,0,1.96698
431,1,2.99984
432,0,2.01595
432,1,3.02605
433,0,1.99443
433,1,3.04363
434,0,1.91061
434,1,2.95355
435,0,1.98178
435,1,2.98087
436,0,1.98286
436,1,2.99249
437,0,1.98263
437,1,2.99381
438,0,2.05236
438,1,2.99403
439,0,1.9373
439,1,3.04669
440,0,2.01832
440,1,2.96991
441,0,1.99479
441,1,2.97983
442,0,2.04745
442,1,2.94657
443,0,1.99407
443,1,3.01246
444,0,2.00568
444,1,2.98707
445,0,2.07565
445,1,2.95598
446,0,1.97982
446,1,3.01561
447,0,1.9941
447,1,2.92751
448,0,1.97983
448,1,3.00578
449,0,1.9902
449,1,3.00888
450,0,1.90361
450,1,2.95786
451,0,1.99281
451,1,2.99859
452,0,1.98764
452,1,3.00491
453,0,2.01127
453,1,3.01248
454,0,2.01715
454,1,3.03477
455,0,1.96058
455,1,2.98789
456,0,2.05712
456,1,2.99392
457,0,2.04848
457,1,3.05814
458,0,1.99847
458,1,2.98201
459,0,2.00502
459,1,3.06128
460,0,2.00323
460,1,2.94765
461,0,2.00349
461,1,3.03015
462,0,1.99984
462,1,2.99624
463,0,1.93484
463,1,2.93794
464,0,1.98286
464,1,2.99254
465,0,2.00811
465,1,2.95293
466,0,1.98683
466,1,2.97577
467,0,1.97501
467,1,3.05671
468,0,1.90278
468,1,2.99895
469,0,2.01606
469,1,2.90676
470,0,1.9833
470,1,2.99933
471,0,1.95982
471,1,3.01792
472,0,2.02372
472,1,2.96555
473,0,2.05146
473,1,2.98862
474,0,1.97384
474,1,3.0807
475,0,2.00914
475,1,2.9893
476,0,1.96445
476,1,3.00963
477,0,1.98273
477,1,3.04305
478,0,1.959
478,1,2.9985
479,0,1.98797
479,1,3.05421
480,0,1.99643
480,1,2.99992
481,0,1.98731
481,1,2.9915
482,0,1.99159
482,1,2.99223
483,0,2.00029
483,1,2.9996
484,0,1.98038
