iteration,fuseTest,fuseResult
639,1,4094.4
641,0,54.2759
641,1,4091.22
643,0,56.1365
643,1,4092.07
645,0,51.349
645,1,4091.76
647,0,54.9345
647,1,4092.33
649,0,52.9571
649,1,4093.69
651,0,53.7433
651,1,4093.77
653,0,51.1515
653,1,4092.66
655,0,54.0132
655,1,4091.24
657,0,53.292
657,1,4091.28
659,0,54.6533
659,1,4091.59
661,0,55.7755
661,1,4091.25
663,0,53.6361
663,1,4093.98
665,0,53.9199
665,1,4091.8
667,0,53.6393
667,1,4093.12
669,0,56.5641
669,1,4091.68
671,0,55.4687
671,1,4091.89
673,0,53.9717
673,1,4091.77
675,0,51.7433
675,1,4091.42
677,0,51.7906
677,1,4091.1
679,0,54.5701
679,1,4091.34
681,0,54.2446
681,1,4091.94
683,0,54.2189
683,1,4092.28
685,0,54.9843
685,1,4092.26
687,0,51.6284
687,1,4093.79
689,0,54.1126
689,1,4092.79
691,0,52.1374
691,1,4091.9
693,0,53.6782
693,1,4092.3
695,0,55.2318
695,1,4092
697,0,53.3084
697,1,4092.89
699,0,55.8164
699,1,4091.72
701,0,54.2163
701,1,4091.7
703,0,51.8531
703,1,4093.64
705,0,52.646
705,1,4092.01
707,0,53.1036
707,1,4091.84
709,0,52.0718
709,1,4091.41
711,0,53.8892
711,1,4094.21
713,0,54.1091
713,1,4092.65
715,0,51.3755
715,1,4092.28
717,0,53.9299
717,1,4092.87
719,0,53.1564
719,1,4094.13
721,0,53.8365
721,1,4091.9
723,0,54.1507
723,1,4092.05
725,0,55.7859
725,1,4092.01
727,0,53.6112
727,1,4091.26
729,0,54.3417
729,1,4092.62
731,0,51.7212
731,1,4091.71
733,0,54.4819
733,1,4091.74
735,0,53.4243
735,1,4093.34
737,0,56.527
737,1,4091.71
739,0,54.0139
739,1,4092.93
741,0,53.7953
741,1,4091.05
743,0,53.7696
743,1,4094.48
745,0,52.9245
745,1,4091.72
747,0,51.2344
747,1,4092.23
749,0,53.8171
749,1,4094.29
751,0,54.9064
751,1,4091.35
753,0,54.2559
753,1,4091.94
755,0,52.3534
755,1,4093.54
757,0,52.0434
757,1,4091.31
759,0,55.4305
759,1,4091.99
761,0,53.9667
761,1,4091.85
763,0,54.6496
763,1,4092.42
765,0,53.6707
765,1,4092.43
767,0,53.9914
767,1,4091.43
769,0,54.3325
769,1,4092.21
771,0,52.7947
771,1,4091.71
773,0,52.4591
773,1,4091.86
775,0,52.9275
775,1,4093.04
777,0,54.03
777,1,4091.5
779,0,53.1252
779,1,4094.27
781,0,53.5366
781,1,4094.22
783,0,54.9956
783,1,4091.83
785,0,56.7211
785,1,4091.77
787,0,52.2215
787,1,4091.32
789,0,54.0161
789,1,4091.51
791,0,53.8702
791,1,4091.35
793,0,53.7723
793,1,4091.2
795,0,54.3133
795,1,4092.1
797,0,53.2485
797,1,4093.35
799,0,54.2097
799,1,4093.69
801,0,55.3554
801,1,4091.75
803,0,53.9602
803,1,4092.4
805,0,54.5483
805,1,4092.85
807,0,53.9268
807,1,4091.15
809,0,53.7336
809,1,4091.99
811,0,54.2744
811,1,4094.15
813,0,53.9476
813,1,4092.46
815,0,53.9983
815,1,4091.37
817,0,56.1201
817,1,4091.72
819,0,51.1965
819,1,4091.99
821,0,54.2563
821,1,4091.62
823,0,53.291
823,1,4091.11
825,0,54.3044
825,1,4093.47
827,0,53.074
827,1,4091.35
829,0,53.8906
829,1,4093.4
831,0,52.3196
831,1,4092.66
833,0,53.3694
833,1,4094.14
835,0,54.2037
835,1,4092.08
837,0,54.4833
837,1,4092.26
839,0,52.1484
839,1,4091.63
841,0,56.018
841,1,4092
843,0,54.7727
843,1,4093.26
845,0,53.768
845,1,4091.93
847,0,53.6221
847,1,4091.98
849,0,53.4632
849,1,4093.34
851,0,53.6376
851,1,4091.61
853,0,53.1885
853,1,4091.51
855,0,53.9161
855,1,4092.06
857,0,54.3157
857,1,4091.88
859,0,53.1736
859,1,4093.11
861,0,54.7751
861,1,4092.19
863,0,55.5222
863,1,4091.9
865,0,54.684
865,1,4091.36
867,0,54.9247
867,1,4091.23
869,0,54.5372
869,1,4091.98
871,0,52.7026
871,1,4091.76
873,0,54.7332
873,1,4093.1
875,0,54.0261
875,1,4094.14
877,0,52.5525
877,1,4093.55
879,0,53.3371
879,1,4091.59
881,0,56.5255
881,1,4091.97
883,0,52.8033
883,1,4091.03
885,0,55.2304
885,1,4091.74
887,0,55.9019
887,1,4092.28
889,0,51.0143
889,1,4092.12
891,0,55.9426
891,1,4092.09
893,0,54.4476
893,1,4093.67
895,0,53.9356
895,1,4091.43
897,0,54.1867
897,1,4092.51
899,0,54.3802
899,1,4091.58
901,0,53.8107
901,1,4094.08
903,0,55.0684
903,1,4094.77
905,0,51.9408
905,1,4093.12
907,0,54.303
907,1,4094.11
909,0,54.7234
909,1,4094.24
911,0,54.3762
911,1,4092.05
913,0,53.9373
913,1,4093.82
915,0,54.4475
915,1,4094.61
917,0,55.7449
917,1,4091.47
919,0,53.4024
919,1,4091.35
921,0,55.5167
921,1,4091.49
923,0,53.6161
923,1,4092.41
925,0,56.2443
925,1,4092.37
927,0,53.6864
927,1,4092.77
929,0,54.5147
929,1,4091.79
931,0,51.7359
931,1,4091.37
933,0,54.1268
933,1,4092.37
935,0,52.7293
935,1,4092.28
937,0,53.6359
937,1,4094.24
939,0,51.7584
939,1,4092.74
941,0,54.2706
941,1,4091.4
943,0,54.1087
943,1,4092.1
945,0,53.6059
945,1,4091.9
947,0,56.2106
947,1,4091.1
949,0,54.0751
949,1,4092.34
951,0,55.1467
951,1,4093.2
953,0,54.4352
953,1,4094.87
955,0,52.7038
955,1,4092.71
957,0,52.6269
957,1,4091.93
959,0,54.6089
959,1,4092.59
961,0,52.7313
961,1,4092.16
963,0,53.1677
963,1,4094.86
965,0,54.0454
965,1,4091.54
967,0,53.051
967,1,4092.2
969,0,54.0028
969,1,4093.54
971,0,55.7103
971,1,4091.12
973,0,53.9969
973,1,4091.86
975,0,53.7129
975,1,4093.74
977,0,52.5337
977,1,4091.72
979,0,53.1031
979,1,4092.71
981,0,55.3557
981,1,4091.93
983,0,54.5327
983,1,4093.6
985,0,54.4918
985,1,4092.82
987,0,53.1286
987,1,4091.07
989,0,54.0487
989,1,4094
991,0,51.6983
991,1,4091.05
993,0,55.7116
993,1,4091.31
995,0,54.0307
995,1,4091.77
997,0,55.4973
997,1,4093.33
999,0,52.4571
999,1,4091.85
1001,0,54.9138
1001,1,4094.4
1003,0,53.3214
1003,1,4092.49
1005,0,54.2881
1005,1,4091.27
1007,0,56.3499
1007,1,4091.8
1009,0,53.9418
1009,1,4091.64
1011,0,53.8153
1011,1,4092.15
1013,0,53.8005
1013,1,4092.16
1015,0,53.7567
1015,1,4092.47
1017,0,54.2083
1017,1,4091.72
1019,0,53.5531
1019,1,4094.67
1021,0,53.8769
1021,1,4091.65
1023,0,55.7908
1023,1,4094.03
1025,0,53.9671
1025,1,4093
1027,0,56.5229
1027,1,4091.62
1029,0,53.6314
1029,1,4091.39
1031,0,56.2236
1031,1,4093.8
1033,0,52.8611
1033,1,4091.98
1035,0,54.7566
1035,1,4091.33
1037,0,53.7477
1037,1,4092.38
1039,0,51.8569
1039,1,4091.76
1041,0,53.6582
1041,1,4094.63
1043,0,54.602
1043,1,4092.37
1045,0,54.9709
1045,1,4092.68
1047,0,52.2908
1047,1,4093.1
1049,0,53.9964
1049,1,4094.19
1051,0,54.7268
1051,1,4092.46
1053,0,52.9001
1053,1,4091.86
1055,0,55.4885
1055,1,4091.38
1057,0,54.1694
1057,1,4092.37
1059,0,56.6643
1059,1,4094.12
1061,0,53.1402
1061,1,4092.38
1063,0,54.0257
1063,1,4094.13
1065,0,51.7395
1065,1,4092.24
1067,0,54.1043
1067,1,4092.58
1069,0,54.0761
1069,1,4091.84
1071,0,56.4913
1071,1,4092.84
1073,0,54.2067
1073,1,4092.49
1075,0,53.8495
1075,1,4091.43
1077,0,53.489
1077,1,4092.12
1079,0,55.7599
1079,1,4092.01
1081,0,53.9921
1081,1,4092.13
1083,0,55.3751
1083,1,4092.09
1085,0,53.9631
1085,1,4092.5
1087,0,56.366
1087,1,4093.05
1089,0,56.5742
1089,1,4092.95
1091,0,54.5295
1091,1,4092.08
1093,0,56.9211
1093,1,4094.34
1095,0,52.4004
1095,1,4091.93
1097,0,55.5527
1097,1,4093.57
1099,0,55.7662
1099,1,4092.27
1101,0,52.4943
1101,1,4091.88
1103,0,56.3839
1103,1,4094.55
1105,0,53.7146
1105,1,4093.19
1107,0,54.7111
1107,1,4091.15
1109,0,54.7269
1109,1,4091.86
1111,0,54.56
1111,1,4091.64
1113,0,54.1675
1113,1,4092.45
1115,0,51.628
1115,1,4091.86
1117,0,55.0279
1117,1,4091.69
1119,0,52.7743
1119,1,4091.47
1121,0,56.5007
1121,1,4091.25
1123,0,53.7946
1123,1,4094.21
1125,0,54.928
1125,1,4091.54
1127,0,53.5009
1127,1,4092.53
1129,0,54.0618
1129,1,4092.1
1131,0,53.6499
1131,1,4093.23
1133,0,54.0019
1133,1,4092.76
1135,0,54.3629
1135,1,4091.46
1137,0,54.7615
1137,1,4093.43
1139,0,54.987
1139,1,4091.98
1141,0,55.654
1141,1,4093.37
1143,0,53.1643
1143,1,4091.94
1145,0,55.2893
1145,1,4091.27
1147,0,54.8656
1147,1,4092.31
1149,0,51.8738
1149,1,4092.52
1151,0,55.1204
1151,1,4091.77
1153,0,54.5855
1153,1,4092.16
1155,0,56.1931
1155,1,4092.27
1157,0,54.0442
1157,1,4092.15
1159,0,53.6608
1159,1,4091.38
1161,0,51.7845
1161,1,4091.98
1163,0,55.622
1163,1,4092.1
1165,0,52.2691
1165,1,4092.75
1167,0,52.5977
1167,1,4093.3
1169,0,54.4741
1169,1,4094.06
1171,0,54.5291
1171,1,4092.3
1173,0,53.4583
1173,1,4091.32
1175,0,51.6837
1175,1,4092.12
1177,0,51.8754
1177,1,4093.06
1179,0,54.0177
1179,1,4091.5
1181,0,51.0677
1181,1,4093.65
1183,0,54.0379
1183,1,4093.31
1185,0,54.0281
1185,1,4092.08
1187,0,54.0248
1187,1,4091.19
1189,0,56.3487
1189,1,4091.86
1191,0,52.8774
1191,1,4093.92
1193,0,55.5029
1193,1,4092
1195,0,53.4436
1195,1,4091.85
1197,0,56.9184
1197,1,4092.07
1199,0,55.0985
1199,1,4091.81
1201,0,54.4112
1201,1,4092.12
1203,0,54.9727
1203,1,4093.79
1205,0,55.9965
1205,1,4091.75
1207,0,53.5922
1207,1,4093.1
1209,0,56.1502
1209,1,4091.95
1211,0,52.6449
1211,1,4091.81
1213,0,53.9587
1213,1,4092.32
1215,0,54.1422
1215,1,4091.82
1217,0,53.6156
1217,1,4091.89
1219,0,56.1864
1219,1,4091.04
1221,0,53.2432
1221,1,4092.13
1223,0,55.053
1223,1,4091.76
1225,0,56.3358
1225,1,4092.91
1227,0,53.9909
1227,1,4092.66
1229,0,54.8824
1229,1,4091.9
1231,0,54.5594
1231,1,4094.1
1233,0,55.0257
1233,1,4091.15
1235,0,52.5493
1235,1,4091.65
1237,0,54.6185
1237,1,4094.1
1239,0,54.0102
1239,1,4093.11
1241,0,54.8732
1241,1,4092.18
1243,0,53.2291
1243,1,4091.74
1245,0,56.3689
1245,1,4092.56
1247,0,55.5061
1247,1,4091.92
1249,0,53.4706
1249,1,4091.65
1251,0,55.7817
1251,1,4093.63
1253,0,56.125
1253,1,4093.85
1255,0,54.3071
1255,1,4091.65
1257,0,54.4448
1257,1,4091.68
1259,0,51.347
1259,1,4091.82
1261,0,56.5678
1261,1,4094.74
1263,0,52.6025
1263,1,4092.03
1265,0,56.7686
