iteration,silhouetteCluster1,silhouetteCluster2,numPointsCluster1,numPointsCluster2,overallSilhouette
499,0.999684,0.999731,50,50,0.999708
501,0.999695,0.999733,50,50,0.999714
503,0.999695,0.999736,50,50,0.999715
505,0.999673,0.999736,50,50,0.999705
507,0.999692,0.999728,50,50,0.99971
509,0.999683,0.999728,50,50,0.999706
511,0.999684,0.999728,50,50,0.999706
513,0.999687,0.999726,50,50,0.999706
515,0.999683,0.999726,50,50,0.999705
517,0.999684,0.99973,50,50,0.999707
519,0.999678,0.999716,50,50,0.999697
521,0.999675,0.999716,50,50,0.999695
523,0.999673,0.999717,50,50,0.999695
525,0.999672,0.999721,50,50,0.999697
527,0.999673,0.99972,50,50,0.999697
529,0.999671,0.999727,50,50,0.999699
531,0.99967,0.999728,50,50,0.999699
533,0.999654,0.999725,50,50,0.99969
535,0.999661,0.999721,50,50,0.999691
537,0.999656,0.999718,50,50,0.999687
539,0.999655,0.999724,50,50,0.999689
541,0.999657,0.999724,50,50,0.99969
543,0.999662,0.999725,50,50,0.999693
545,0.999668,0.999728,50,50,0.999698
547,0.999667,0.99973,50,50,0.999699
549,0.999665,0.999731,50,50,0.999698
551,0.999657,0.99973,50,50,0.999693
553,0.999662,0.999737,50,50,0.9997
555,0.999652,0.999731,50,50,0.999692
557,0.999654,0.999726,50,50,0.99969
559,0.999649,0.999729,50,50,0.999689
561,0.999655,0.999724,50,50,0.99969
563,0.999668,0.999723,50,50,0.999696
565,0.999681,0.999725,50,50,0.999703
567,0.999681,0.99973,50,50,0.999705
569,0.999682,0.999729,50,50,0.999705
571,0.999675,0.999728,50,50,0.999702
573,0.999678,0.999721,50,50,0.999699
575,0.999677,0.999732,50,50,0.999705
577,0.999664,0.999739,50,50,0.999702
579,0.999664,0.999729,50,50,0.999696
581,0.999662,0.99972,50,50,0.999691
583,0.99966,0.999722,50,50,0.999691
585,0.99966,0.999726,50,50,0.999693
587,0.999661,0.999737,50,50,0.999699
589,0.999647,0.999737,50,50,0.999692
591,0.999648,0.999738,50,50,0.999693
593,0.999646,0.999736,50,50,0.999691
595,0.999647,0.999742,50,50,0.999694
597,0.999665,0.999736,50,50,0.9997
599,0.999679,0.999734,50,50,0.999706
601,0.999683,0.999733,50,50,0.999708
603,0.999683,0.999733,50,50,0.999708
605,0.999702,0.99972,50,50,0.999711
607,0.999702,0.999727,50,50,0.999714
609,0.999697,0.99973,50,50,0.999714
611,0.9997,0.999724,50,50,0.999712
613,0.9997,0.999723,50,50,0.999712
615,0.999683,0.999723,50,50,0.999703
617,0.99969,0.999723,50,50,0.999706
619,0.999685,0.999738,50,50,0.999711
621,0.999675,0.999738,50,50,0.999707
623,0.999674,0.999724,50,50,0.999699
625,0.999666,0.999725,50,50,0.999696
627,0.999653,0.999721,50,50,0.999687
629,0.999648,0.999721,50,50,0.999684
631,0.999646,0.999723,50,50,0.999685
633,0.999666,0.999724,50,50,0.999695
635,0.99965,0.999724,50,50,0.999687
637,0.999661,0.999722,50,50,0.999691
639,0.999656,0.999721,50,50,0.999689
641,0.99966,0.999721,50,50,0.99969
